date,Art Blocks
2020-12-12,81
2020-12-13,146
2020-12-14,240
2020-12-15,92
2020-12-16,199
2020-12-17,60
2020-12-18,121
2020-12-19,102
2020-12-20,305
2020-12-21,55
2020-12-22,159
2020-12-23,73
2020-12-24,118
2020-12-25,115
2020-12-26,286
2020-12-27,97
2020-12-28,174
2020-12-29,209
2020-12-30,138
2020-12-31,82
2021-01-01,196
2021-01-02,0
2021-01-16,219
2021-01-17,381
2021-01-18,229
2021-01-19,131
2021-01-20,249
2021-01-21,210
2021-01-22,69
2021-01-23,150
2021-01-24,181
2021-01-25,257
2021-01-26,353
2021-01-27,271
2021-01-28,107
2021-01-29,349
2021-01-30,0
2021-02-06,283
2021-02-07,250
2021-02-08,240
2021-02-09,220
2021-02-10,139
2021-02-11,312
2021-02-12,297
2021-02-13,290
2021-02-14,152
2021-02-15,139
2021-02-16,107
2021-02-17,115
2021-02-18,197
2021-02-19,224
2021-02-20,96
2021-02-21,140
2021-02-22,215
2021-02-23,198
2021-02-24,98
2021-02-25,58
2021-02-26,25
2021-02-27,147
2021-02-28,239
2021-03-01,194
2021-03-02,251
2021-03-03,188
2021-03-04,235
2021-03-05,146
2021-03-06,168
2021-03-07,274
2021-03-08,160
2021-03-09,287
2021-03-10,192
2021-03-11,214
2021-03-12,202
2021-03-13,330
2021-03-14,213
2021-03-15,85
2021-03-16,147
2021-03-17,261
2021-03-18,203
2021-03-19,53
2021-03-20,204
2021-03-21,153
2021-03-22,21
2021-03-23,170
2021-03-24,220
2021-03-25,82
2021-03-26,108
2021-03-27,214
2021-03-28,373
2021-03-29,198
2021-03-30,253
2021-03-31,113
2021-04-01,264
2021-04-02,213
2021-04-03,181
2021-04-04,373
2021-04-05,379
2021-04-06,192
2021-04-07,262
2021-04-08,259
2021-04-09,378
2021-04-10,0
2021-04-17,148
2021-04-18,447
2021-04-19,126
2021-04-20,138
2021-04-21,330
2021-04-22,119
2021-04-23,125
2021-04-24,240
2021-04-25,265
2021-04-26,218
2021-04-27,116
2021-04-28,295
2021-04-29,86
2021-04-30,228
2021-05-01,289
2021-05-02,174
2021-05-03,168
2021-05-04,243
2021-05-05,203
2021-05-06,192
2021-05-07,230
2021-05-08,536
2021-05-09,0
2021-05-10,69
2021-05-11,260
2021-05-12,119
2021-05-13,125
2021-05-14,152
2021-05-15,0
2021-05-16,149
2021-05-17,215
2021-05-18,243
2021-05-19,358
2021-05-20,48
2021-05-21,318
2021-05-22,218
2021-05-23,141
2021-05-24,116
2021-05-25,113
2021-05-26,70
2021-05-27,293
2021-05-28,71
2021-05-29,181
2021-05-30,135
2021-05-31,211
2021-06-01,60
2021-06-02,341
2021-06-03,202
2021-06-04,241
2021-06-05,72
2021-06-06,274
2021-06-07,87
2021-06-08,102
2021-06-09,304
2021-06-10,85
2021-06-11,100
2021-06-12,335
2021-06-13,229
2021-06-14,28
2021-06-15,244
2021-06-16,132
2021-06-17,129
2021-06-18,85
2021-06-19,38
2021-06-20,35
2021-06-21,120
2021-06-22,98
2021-06-23,328
2021-06-24,272
2021-06-25,39
2021-06-26,70
2021-06-27,165
2021-06-28,113
2021-06-29,51
2021-06-30,65
2021-07-01,34
2021-07-02,53
2021-07-03,142
2021-07-04,279
2021-07-05,206
2021-07-06,188
2021-07-07,219
2021-07-08,200
2021-07-09,231
2021-07-10,184
2021-07-11,203
2021-07-12,64
2021-07-13,225
2021-07-14,114
2021-07-15,194
2021-07-16,284
2021-07-17,0
2021-08-07,211
2021-08-08,254
2021-08-09,226
2021-08-10,186
2021-08-11,103
2021-08-12,275
2021-08-13,213
2021-08-14,184
2021-08-15,308
2021-08-16,143
2021-08-17,140
2021-08-18,289
2021-08-19,134
2021-08-20,195
2021-08-21,47
2021-08-22,15
2021-08-23,24
2021-08-24,220
2021-08-25,29
2021-08-26,20
2021-08-27,39
2021-08-28,0
2021-09-11,124
2021-09-12,210
2021-09-13,166
2021-09-14,157
2021-09-15,151
2021-09-16,216
2021-09-17,200
2021-09-18,219
2021-09-19,208
2021-09-20,159
2021-09-21,256
2021-09-22,318
2021-09-23,320
2021-09-24,153
2021-09-25,233
2021-09-26,287
2021-09-27,181
2021-09-28,343
2021-09-29,293
2021-09-30,216
2021-10-01,275
2021-10-02,111
2021-10-03,55
2021-10-04,215
2021-10-05,236
2021-10-06,234
2021-10-07,28
2021-10-08,350
2021-10-09,0
2021-11-06,255
2021-11-07,301
2021-11-08,0
2021-11-09,140
2021-11-10,193
2021-11-11,171
2021-11-12,30
2021-11-13,231
2021-11-14,397
2021-11-15,117
2021-11-16,302
2021-11-17,123
2021-11-18,174
2021-11-19,290
2021-11-20,145
2021-11-21,193
2021-11-22,98
2021-11-23,126
2021-11-24,207
2021-11-25,93
2021-11-26,276
2021-11-27,207
2021-11-28,360
2021-11-29,174
2021-11-30,55
2021-12-01,193
2021-12-02,123
2021-12-03,270
2021-12-04,195
2021-12-05,188
2021-12-06,74
2021-12-07,239
2021-12-08,136
2021-12-09,298
2021-12-10,329
2021-12-11,105
2021-12-12,355
2021-12-13,136
2021-12-14,336
2021-12-15,145
2021-12-16,144
2021-12-17,39
2021-12-18,106
2021-12-19,107
2021-12-20,125
2021-12-21,162
2021-12-22,140
2021-12-23,202
2021-12-24,75
2021-12-25,245
2021-12-26,84
2021-12-27,307
2021-12-28,101
2021-12-29,219
2021-12-30,94
2021-12-31,192
2022-01-01,245
2022-01-02,261
2022-01-03,268
2022-01-04,191
2022-01-05,179
2022-01-06,197
2022-01-07,208
2022-01-08,0
2022-02-19,214
2022-02-20,88
2022-02-21,54
2022-02-22,98
2022-02-23,92
2022-02-24,206
2022-02-25,106
2022-02-26,31
2022-02-27,108
2022-02-28,121
2022-03-01,69
2022-03-02,69
2022-03-03,69
2022-03-04,266
2022-03-05,329
2022-03-06,151
2022-03-07,154
2022-03-08,358
2022-03-09,233
2022-03-10,110
2022-03-11,282
2022-03-12,179
2022-03-13,234
2022-03-14,191
2022-03-15,193
2022-03-16,253
2022-03-17,399
2022-03-18,447
2022-03-19,99
2022-03-20,210
2022-03-21,199
2022-03-22,319
2022-03-23,297
2022-03-24,143
2022-03-25,186
2022-03-26,342
2022-03-27,192
2022-03-28,182
2022-03-29,182
2022-03-30,304
2022-03-31,263
2022-04-01,278
2022-04-02,0
2022-04-09,102
2022-04-10,296
2022-04-11,133
2022-04-12,314
2022-04-13,184
2022-04-14,210
2022-04-15,127
2022-04-16,102
2022-04-17,150
2022-04-18,250
2022-04-19,159
2022-04-20,212
2022-04-21,109
2022-04-22,70
2022-04-23,173
2022-04-24,424
2022-04-25,204
2022-04-26,217
2022-04-27,287
2022-04-28,253
2022-04-29,228
2022-04-30,327
2022-05-01,172
2022-05-02,262
2022-05-03,342
2022-05-04,200
2022-05-05,90
2022-05-06,283
2022-05-07,121
2022-05-08,255
2022-05-09,185
2022-05-10,292
2022-05-11,174
2022-05-12,62
2022-05-13,371
2022-05-14,61
2022-05-15,121
2022-05-16,109
2022-05-17,173
2022-05-18,133
2022-05-19,97
2022-05-20,66
2022-05-21,326
2022-05-22,440
2022-05-23,109
2022-05-24,238
2022-05-25,353
2022-05-26,151
2022-05-27,295
2022-05-28,44
2022-05-29,192
2022-05-30,69
2022-05-31,52
2022-06-01,98
2022-06-02,120
2022-06-03,199
2022-06-04,533
2022-06-05,59
2022-06-06,351
2022-06-07,119
2022-06-08,333
2022-06-09,151
2022-06-10,283
2022-06-11,0
2022-06-25,80
2022-06-26,253
2022-06-27,75
2022-06-28,185
2022-06-29,243
2022-06-30,81
2022-07-01,113
2022-07-02,136
2022-07-03,117
2022-07-04,85
2022-07-05,72
2022-07-06,95
2022-07-07,152
2022-07-08,203
2022-07-09,440
2022-07-10,70
2022-07-11,280
2022-07-12,200
2022-07-13,295
2022-07-14,92
2022-07-15,181
2022-07-16,341
2022-07-17,223
2022-07-18,273
2022-07-19,197
2022-07-20,271
2022-07-21,251
2022-07-22,221
2022-07-23,426
2022-07-24,178
2022-07-25,197
2022-07-26,88
2022-07-27,198
2022-07-28,106
2022-07-29,229
2022-07-30,248
2022-07-31,191
2022-08-01,73
2022-08-02,93
2022-08-03,83
2022-08-04,22
2022-08-05,78
2022-08-06,183
2022-08-07,114
2022-08-08,201
2022-08-09,121
2022-08-10,126
2022-08-11,101
2022-08-12,50
2022-08-13,149
2022-08-14,242
2022-08-15,142
2022-08-16,138
2022-08-17,166
2022-08-18,293
2022-08-19,69
2022-08-20,122
2022-08-21,123
2022-08-22,202
2022-08-23,250
2022-08-24,214
2022-08-25,221
2022-08-26,185
2022-08-27,53
2022-08-28,259
2022-08-29,108
2022-08-30,135
2022-08-31,281
2022-09-01,154
2022-09-02,98
2022-09-03,133
2022-09-04,267
2022-09-05,67
2022-09-06,265
2022-09-07,403
2022-09-08,249
2022-09-09,186
2022-09-10,107
2022-09-11,222
2022-09-12,0
2022-09-13,196
2022-09-14,150
2022-09-15,190
2022-09-16,46
2022-09-17,492
2022-09-18,211
2022-09-19,361
2022-09-20,110
2022-09-21,192
2022-09-22,321
2022-09-23,107
2022-09-24,0
2022-10-08,169
2022-10-09,133
2022-10-10,214
2022-10-11,138
2022-10-12,371
2022-10-13,293
2022-10-14,376
2022-10-15,400
2022-10-16,164
2022-10-17,177
2022-10-18,202
2022-10-19,335
2022-10-20,269
2022-10-21,321
2022-10-22,122
2022-10-23,322
2022-10-24,280
2022-10-25,453
2022-10-26,201
2022-10-27,174
2022-10-28,296
2022-10-29,741
2022-10-30,806
2022-10-31,1018
2022-11-01,999
2022-11-02,1002
2022-11-03,1151
2022-11-04,1213
2022-11-05,174
