date,NFT
2017-06-23,129
2017-06-24,114
2017-06-25,266
2017-06-26,252
2017-06-27,134
2017-06-28,86
2017-06-29,55
2017-06-30,343
2017-07-01,265
2017-07-02,413
2017-07-03,277
2017-07-04,244
2017-07-05,262
2017-07-06,591
2017-07-07,211
2017-07-08,585
2017-07-09,255
2017-07-10,179
2017-07-11,248
2017-07-12,228
2017-07-13,189
2017-07-14,261
2017-07-15,447
2017-07-16,277
2017-07-17,349
2017-07-18,179
2017-07-19,291
2017-07-20,49
2017-07-21,225
2017-07-22,273
2017-07-23,223
2017-07-24,180
2017-07-25,185
2017-07-26,190
2017-07-27,209
2017-07-28,247
2017-07-29,310
2017-07-30,269
2017-07-31,344
2017-08-01,191
2017-08-02,225
2017-08-03,349
2017-08-04,146
2017-08-05,165
2017-08-06,254
2017-08-07,79
2017-08-08,107
2017-08-09,158
2017-08-10,146
2017-08-11,316
2017-08-12,183
2017-08-13,60
2017-08-14,184
2017-08-15,85
2017-08-16,267
2017-08-17,114
2017-08-18,270
2017-08-19,268
2017-08-20,234
2017-08-21,243
2017-08-22,203
2017-08-23,351
2017-08-24,90
2017-08-25,153
2017-08-26,152
2017-08-27,121
2017-08-28,139
2017-08-29,150
2017-08-30,244
2017-08-31,217
2017-09-01,230
2017-09-02,111
2017-09-03,104
2017-09-04,203
2017-09-05,239
2017-09-06,125
2017-09-07,113
2017-09-08,171
2017-09-09,183
2017-09-10,158
2017-09-11,118
2017-09-12,52
2017-09-13,225
2017-09-14,175
2017-09-15,124
2017-09-16,220
2017-09-17,318
2017-09-18,443
2017-09-19,198
2017-09-20,212
2017-09-21,68
2017-09-22,134
2017-09-23,254
2017-09-24,162
2017-09-25,198
2017-09-26,249
2017-09-27,121
2017-09-28,261
2017-09-29,247
2017-09-30,188
2017-10-01,304
2017-10-02,163
2017-10-03,203
2017-10-04,153
2017-10-05,239
2017-10-06,194
2017-10-07,185
2017-10-08,139
2017-10-09,550
2017-10-10,228
2017-10-11,162
2017-10-12,169
2017-10-13,228
2017-10-14,231
2017-10-15,124
2017-10-16,136
2017-10-17,222
2017-10-18,405
2017-10-19,224
2017-10-20,131
2017-10-21,167
2017-10-22,213
2017-10-23,215
2017-10-24,243
2017-10-25,114
2017-10-26,378
2017-10-27,467
2017-10-28,144
2017-10-29,179
2017-10-30,189
2017-10-31,273
2017-11-01,246
2017-11-02,253
2017-11-03,0
2017-12-15,170
2017-12-16,137
2017-12-17,302
2017-12-18,89
2017-12-19,68
2017-12-20,64
2017-12-21,34
2017-12-22,33
2017-12-29,57
2017-12-30,95
2017-12-31,203
2018-01-01,71
2018-01-02,109
2018-01-03,159
2018-01-04,112
2018-01-05,414
2018-01-06,336
2018-01-07,462
2018-01-08,344
2018-01-09,162
2018-01-10,389
2018-01-11,94
2018-01-12,321
2018-01-13,171
2018-01-14,227
2018-01-15,225
2018-01-16,0
2018-01-17,115
2018-01-18,434
2018-01-19,0
2018-03-02,11
2018-03-03,218
2018-03-04,141
2018-03-05,28
2018-03-06,263
2018-03-07,165
2018-03-08,53
2018-03-09,147
2018-03-10,573
2018-03-11,445
2018-03-12,407
2018-03-13,248
2018-03-14,262
2018-03-15,161
2018-03-16,88
2018-03-17,35
2018-03-18,195
2018-03-19,220
2018-03-20,156
2018-03-21,166
2018-03-22,92
2018-03-23,172
2018-03-24,205
2018-03-25,71
2018-03-26,152
2018-03-27,177
2018-03-28,159
2018-03-29,258
2018-03-30,87
2018-03-31,226
2018-04-01,203
2018-04-02,212
2018-04-03,135
2018-04-04,60
2018-04-05,101
2018-04-06,249
2018-04-07,247
2018-04-08,298
2018-04-09,311
2018-04-10,225
2018-04-11,242
2018-04-12,292
2018-04-13,0
2018-04-20,397
2018-04-21,267
2018-04-22,229
2018-04-23,191
2018-04-24,84
2018-04-25,230
2018-04-26,336
2018-04-27,0
2018-05-18,143
2018-05-19,269
2018-05-20,65
2018-05-21,212
2018-05-22,314
2018-05-23,203
2018-05-24,173
2018-05-25,154
2018-05-26,213
2018-05-27,348
2018-05-28,116
2018-05-29,204
2018-05-30,156
2018-05-31,197
2018-06-01,163
2018-06-02,387
2018-06-03,92
2018-06-04,174
2018-06-05,201
2018-06-06,337
2018-06-07,136
2018-06-08,0
2018-06-15,195
2018-06-16,267
2018-06-17,86
2018-06-18,124
2018-06-19,161
2018-06-20,179
2018-06-21,88
2018-06-22,0
2018-07-06,356
2018-07-07,335
2018-07-08,416
2018-07-09,170
2018-07-10,212
2018-07-11,197
2018-07-12,167
2018-07-13,0
2018-08-03,184
2018-08-04,147
2018-08-05,200
2018-08-06,244
2018-08-07,229
2018-08-08,180
2018-08-09,185
2018-08-10,294
2018-08-11,331
2018-08-12,257
2018-08-13,96
2018-08-14,83
2018-08-15,215
2018-08-16,279
2018-08-17,0
2018-09-14,157
2018-09-15,85
2018-09-16,220
2018-09-17,121
2018-09-18,200
2018-09-19,146
2018-09-20,218
2018-09-21,100
2018-09-28,304
2018-09-29,332
2018-09-30,438
2018-10-01,231
2018-10-02,319
2018-10-03,399
2018-10-04,235
2018-10-05,211
2018-10-06,236
2018-10-07,326
2018-10-08,217
2018-10-09,278
2018-10-10,204
2018-10-11,189
2018-10-12,359
2018-10-13,228
2018-10-14,270
2018-10-15,390
2018-10-16,235
2018-10-17,184
2018-10-18,202
2018-10-19,72
2018-10-20,163
2018-10-21,128
2018-10-22,249
2018-10-23,137
2018-10-24,139
2018-10-25,165
2018-10-26,136
2018-10-27,247
2018-10-28,260
2018-10-29,155
2018-10-30,308
2018-10-31,177
2018-11-01,296
2018-11-02,225
2018-11-03,156
2018-11-04,144
2018-11-05,338
2018-11-06,273
2018-11-07,204
2018-11-08,239
2018-11-09,581
2018-11-10,204
2018-11-11,70
2018-11-12,180
2018-11-13,393
2018-11-14,266
2018-11-15,145
2018-11-16,68
2018-11-23,153
2018-11-24,269
2018-11-25,403
2018-11-26,263
2018-11-27,427
2018-11-28,246
2018-11-29,496
2018-11-30,165
2018-12-01,252
2018-12-02,215
2018-12-03,204
2018-12-04,218
2018-12-05,287
2018-12-06,276
2018-12-07,162
2018-12-08,136
2018-12-09,113
2018-12-10,170
2018-12-11,237
2018-12-12,240
2018-12-13,71
2018-12-14,174
2018-12-15,37
2018-12-16,95
2018-12-17,261
2018-12-18,190
2018-12-19,294
2018-12-20,234
2018-12-21,152
2018-12-22,135
2018-12-23,356
2018-12-24,320
2018-12-25,222
2018-12-26,210
2018-12-27,375
2018-12-28,341
2018-12-29,487
2018-12-30,509
2018-12-31,433
