date,bored ape yacht club
2021-10-01,133
2021-10-02,134
2021-10-03,227
2021-10-04,156
2021-10-05,264
2021-10-06,221
2021-10-07,174
2021-10-08,467
2021-10-09,305
2021-10-10,176
2021-10-11,208
2021-10-12,185
2021-10-13,353
2021-10-14,213
2021-10-15,183
2021-10-16,193
2021-10-17,164
2021-10-18,68
2021-10-19,194
2021-10-20,161
2021-10-21,65
2021-10-22,291
2021-10-23,298
2021-10-24,115
2021-10-25,201
2021-10-26,254
2021-10-27,276
2021-10-28,262
2021-10-29,190
2021-10-30,198
2021-10-31,216
2021-11-01,235
2021-11-02,391
2021-11-03,242
2021-11-04,308
2021-11-05,272
2021-11-06,363
2021-11-07,126
2021-11-08,232
2021-11-09,383
2021-11-10,227
2021-11-11,202
2021-11-12,189
2021-11-13,103
2021-11-14,231
2021-11-15,315
2021-11-16,243
2021-11-17,388
2021-11-18,282
2021-11-19,489
2021-11-20,390
2021-11-21,207
2021-11-22,370
2021-11-23,290
2021-11-24,274
2021-11-25,122
2021-11-26,359
2021-11-27,225
2021-11-28,572
2021-11-29,312
2021-11-30,404
2021-12-01,537
2021-12-02,346
2021-12-03,492
2021-12-04,347
2021-12-05,231
2021-12-06,369
2021-12-07,382
2021-12-08,393
2021-12-09,336
2021-12-10,325
2021-12-11,322
2021-12-12,727
2021-12-13,467
2021-12-14,344
2021-12-15,546
2021-12-16,623
2021-12-17,329
2021-12-18,206
2021-12-19,230
2021-12-20,384
2021-12-21,227
2021-12-22,331
2021-12-23,404
2021-12-24,462
2021-12-25,410
2021-12-26,425
2021-12-27,402
2021-12-28,245
2021-12-29,493
2021-12-30,312
2021-12-31,217
2022-01-01,345
2022-01-02,424
2022-01-03,491
2022-01-04,471
2022-01-05,555
2022-01-06,461
2022-01-07,568
2022-01-08,424
2022-01-09,464
2022-01-10,465
2022-01-11,330
2022-01-12,463
2022-01-13,206
2022-01-14,506
2022-01-15,624
2022-01-16,375
2022-01-17,299
2022-01-18,432
2022-01-19,443
2022-01-20,533
2022-01-21,770
2022-01-22,730
2022-01-23,567
2022-01-24,520
2022-01-25,574
2022-01-26,333
2022-01-27,417
2022-01-28,453
2022-01-29,506
2022-01-30,673
2022-01-31,672
2022-02-01,513
2022-02-02,579
2022-02-03,481
2022-02-04,729
2022-02-05,462
2022-02-06,502
2022-02-07,361
2022-02-08,496
2022-02-09,358
2022-02-10,360
2022-02-11,317
2022-02-12,358
2022-02-13,575
2022-02-14,399
2022-02-15,347
2022-02-16,360
2022-02-17,227
2022-02-18,418
2022-02-19,477
2022-02-20,644
2022-02-21,284
2022-02-22,249
2022-02-23,354
2022-02-24,235
2022-02-25,109
2022-02-26,149
2022-02-27,160
2022-02-28,169
2022-03-01,185
2022-03-02,116
2022-03-03,260
2022-03-04,341
2022-03-05,358
2022-03-06,186
2022-03-07,223
2022-03-08,201
2022-03-09,240
2022-03-10,187
2022-03-11,197
2022-03-12,224
2022-03-13,274
2022-03-14,269
2022-03-15,182
2022-03-16,295
2022-03-17,565
2022-03-18,703
2022-03-19,735
2022-03-20,555
2022-03-21,494
2022-03-22,403
2022-03-23,465
2022-03-24,472
2022-03-25,470
2022-03-26,473
2022-03-27,409
2022-03-28,305
2022-03-29,512
2022-03-30,503
2022-03-31,217
2022-04-01,285
2022-04-02,271
2022-04-03,279
2022-04-04,268
2022-04-05,423
2022-04-06,273
2022-04-07,305
2022-04-08,567
2022-04-09,260
2022-04-10,439
2022-04-11,305
2022-04-12,364
2022-04-13,529
2022-04-14,408
2022-04-15,556
2022-04-16,307
2022-04-17,341
2022-04-18,404
2022-04-19,424
2022-04-20,202
2022-04-21,214
2022-04-22,740
2022-04-23,487
2022-04-24,200
2022-04-25,455
2022-04-26,1033
2022-04-27,708
2022-04-28,714
2022-04-29,569
2022-04-30,495
2022-05-01,515
2022-05-02,372
2022-05-03,476
2022-05-04,522
2022-05-05,386
2022-05-06,422
2022-05-07,277
2022-05-08,273
2022-05-09,108
2022-05-10,347
2022-05-11,277
2022-05-12,266
2022-05-13,150
2022-05-14,249
2022-05-15,460
2022-05-16,216
2022-05-17,209
2022-05-18,244
2022-05-19,304
2022-05-20,237
2022-05-21,177
2022-05-22,406
2022-05-23,301
2022-05-24,331
2022-05-25,276
2022-05-26,289
2022-05-27,123
2022-05-28,501
2022-05-29,294
2022-05-30,208
2022-05-31,249
2022-06-01,224
2022-06-02,88
2022-06-03,95
2022-06-04,299
2022-06-05,254
2022-06-06,89
2022-06-07,132
2022-06-08,57
2022-06-09,110
2022-06-10,125
2022-06-11,163
2022-06-12,55
2022-06-13,242
2022-06-14,301
2022-06-15,271
2022-06-16,162
2022-06-17,254
2022-06-18,249
2022-06-19,177
2022-06-20,327
2022-06-21,354
2022-06-22,384
2022-06-23,436
2022-06-24,619
2022-06-25,444
2022-06-26,584
2022-06-27,497
2022-06-28,355
2022-06-29,434
2022-06-30,163
2022-07-01,249
2022-07-02,274
2022-07-03,339
2022-07-04,178
2022-07-05,464
2022-07-06,296
2022-07-07,432
2022-07-08,207
2022-07-09,296
2022-07-10,341
2022-07-11,163
2022-07-12,147
2022-07-13,172
2022-07-14,83
2022-07-15,363
2022-07-16,160
2022-07-17,149
2022-07-18,158
2022-07-19,216
2022-07-20,159
2022-07-21,220
2022-07-22,181
2022-07-23,337
2022-07-24,166
2022-07-25,33
2022-07-26,247
2022-07-27,116
2022-07-28,280
2022-07-29,44
2022-07-30,172
2022-07-31,152
2022-08-01,310
2022-08-02,196
2022-08-03,255
2022-08-04,207
2022-08-05,363
2022-08-06,272
2022-08-07,457
2022-08-08,238
2022-08-09,310
2022-08-10,320
2022-08-11,299
2022-08-12,423
2022-08-13,224
2022-08-14,118
2022-08-15,276
2022-08-16,312
2022-08-17,288
2022-08-18,278
2022-08-19,238
2022-08-20,465
2022-08-21,201
2022-08-22,199
2022-08-23,275
2022-08-24,196
2022-08-25,109
2022-08-26,192
2022-08-27,306
2022-08-28,137
2022-08-29,161
2022-08-30,230
2022-08-31,229
2022-09-01,144
2022-09-02,202
2022-09-03,298
2022-09-04,134
2022-09-05,369
2022-09-06,167
2022-09-07,284
2022-09-08,0
2022-09-09,155
2022-09-10,194
2022-09-11,121
2022-09-12,152
2022-09-13,41
2022-09-14,154
2022-09-15,214
2022-09-16,339
2022-09-17,325
2022-09-18,506
2022-09-19,254
2022-09-20,287
2022-09-21,101
2022-09-22,259
2022-09-23,178
2022-09-24,216
2022-09-25,171
2022-09-26,314
2022-09-27,187
2022-09-28,222
2022-09-29,228
2022-09-30,1362
