date,The Sandbox,isPartial
2022-04-17 00:00:00,0,False
2022-04-17 01:00:00,19,False
2022-04-17 02:00:00,0,False
2022-04-17 03:00:00,0,False
2022-04-17 04:00:00,0,False
2022-04-17 05:00:00,0,False
2022-04-17 06:00:00,33,False
2022-04-17 07:00:00,22,False
2022-04-17 08:00:00,21,False
2022-04-17 09:00:00,0,False
2022-04-17 10:00:00,34,False
2022-04-17 11:00:00,0,False
2022-04-17 12:00:00,26,False
2022-04-17 13:00:00,0,False
2022-04-17 14:00:00,23,False
2022-04-17 15:00:00,0,False
2022-04-17 16:00:00,47,False
2022-04-17 17:00:00,12,False
2022-04-17 18:00:00,31,False
2022-04-17 19:00:00,0,False
2022-04-17 20:00:00,0,False
2022-04-17 21:00:00,0,False
2022-04-17 22:00:00,0,False
2022-04-17 23:00:00,0,False
2022-04-18 00:00:00,0,False
2022-04-18 01:00:00,43,False
2022-04-18 02:00:00,22,False
2022-04-18 03:00:00,0,False
2022-04-18 04:00:00,0,False
2022-04-18 05:00:00,0,False
2022-04-18 06:00:00,0,False
2022-04-18 07:00:00,30,False
2022-04-18 08:00:00,28,False
2022-04-18 09:00:00,42,False
2022-04-18 10:00:00,21,False
2022-04-18 11:00:00,0,False
2022-04-18 12:00:00,34,False
2022-04-18 13:00:00,0,False
2022-04-18 14:00:00,15,False
2022-04-18 15:00:00,31,False
2022-04-18 16:00:00,30,False
2022-04-18 17:00:00,24,False
2022-04-18 18:00:00,0,False
2022-04-18 19:00:00,19,False
2022-04-18 20:00:00,0,False
2022-04-18 21:00:00,26,False
2022-04-18 22:00:00,16,False
2022-04-18 23:00:00,50,False
2022-04-19 00:00:00,0,False
2022-04-19 01:00:00,0,False
2022-04-19 02:00:00,0,False
2022-04-19 03:00:00,0,False
2022-04-19 04:00:00,100,False
2022-04-19 05:00:00,0,False
2022-04-19 06:00:00,35,False
2022-04-19 07:00:00,28,False
2022-04-19 08:00:00,29,False
2022-04-19 09:00:00,0,False
2022-04-19 10:00:00,30,False
2022-04-19 11:00:00,0,False
2022-04-19 12:00:00,14,False
2022-04-19 13:00:00,31,False
2022-04-19 14:00:00,0,False
2022-04-19 15:00:00,20,False
2022-04-19 16:00:00,42,False
2022-04-19 17:00:00,41,False
2022-04-19 18:00:00,11,False
2022-04-19 19:00:00,33,False
2022-04-19 20:00:00,0,False
2022-04-19 21:00:00,49,False
2022-04-19 22:00:00,0,False
2022-04-19 23:00:00,39,False
2022-04-20 00:00:00,32,False
2022-04-20 01:00:00,38,False
2022-04-20 02:00:00,41,False
2022-04-20 03:00:00,0,False
2022-04-20 04:00:00,29,False
2022-04-20 05:00:00,0,False
2022-04-20 06:00:00,15,False
2022-04-20 07:00:00,54,False
2022-04-20 08:00:00,17,False
2022-04-20 09:00:00,33,False
2022-04-20 10:00:00,20,False
2022-04-20 11:00:00,13,False
2022-04-20 12:00:00,26,False
2022-04-20 13:00:00,0,False
2022-04-20 14:00:00,0,False
2022-04-20 15:00:00,0,False
2022-04-20 16:00:00,0,False
2022-04-20 17:00:00,0,False
2022-04-20 18:00:00,0,False
2022-04-20 19:00:00,0,False
2022-04-20 20:00:00,0,False
2022-04-20 21:00:00,0,False
2022-04-20 22:00:00,0,False
2022-04-20 23:00:00,0,False
2022-04-21 00:00:00,0,False
2022-04-21 01:00:00,0,False
2022-04-21 02:00:00,0,False
2022-04-21 03:00:00,0,False
2022-04-21 04:00:00,0,False
2022-04-21 05:00:00,0,False
2022-04-21 06:00:00,0,False
2022-04-21 07:00:00,0,False
2022-04-21 08:00:00,0,False
2022-04-21 09:00:00,0,False
2022-04-21 10:00:00,0,False
2022-04-21 11:00:00,0,False
2022-04-21 12:00:00,0,False
2022-04-21 13:00:00,0,False
2022-04-21 14:00:00,0,False
2022-04-21 15:00:00,0,False
2022-04-21 16:00:00,0,False
2022-04-21 17:00:00,0,False
2022-04-21 18:00:00,0,False
2022-04-21 19:00:00,0,False
2022-04-21 20:00:00,0,False
2022-04-21 21:00:00,0,False
2022-04-21 22:00:00,0,False
2022-04-21 23:00:00,0,False
2022-04-22 00:00:00,0,False
2022-04-22 01:00:00,0,False
2022-04-22 02:00:00,0,False
2022-04-22 03:00:00,0,False
2022-04-22 04:00:00,0,False
2022-04-22 05:00:00,0,False
2022-04-22 06:00:00,0,False
2022-04-22 07:00:00,0,False
2022-04-22 08:00:00,0,False
2022-04-22 09:00:00,0,False
2022-04-22 10:00:00,0,False
2022-04-22 11:00:00,0,False
2022-04-22 12:00:00,0,False
2022-04-22 13:00:00,0,False
2022-04-22 14:00:00,0,False
2022-04-22 15:00:00,0,False
2022-04-22 16:00:00,0,False
2022-04-22 17:00:00,0,False
2022-04-22 18:00:00,0,False
2022-04-22 19:00:00,0,False
2022-04-22 20:00:00,0,False
2022-04-22 21:00:00,0,False
2022-04-22 22:00:00,0,False
2022-04-22 23:00:00,0,False
2022-04-23 00:00:00,0,False
2022-04-23 01:00:00,0,False
2022-04-23 02:00:00,0,False
2022-04-23 03:00:00,0,False
2022-04-23 04:00:00,0,False
2022-04-23 05:00:00,0,False
2022-04-23 06:00:00,0,False
2022-04-23 07:00:00,0,False
2022-04-23 08:00:00,0,False
2022-04-23 09:00:00,0,False
2022-04-23 10:00:00,0,False
2022-04-23 11:00:00,0,False
2022-04-23 12:00:00,0,False
2022-04-23 13:00:00,0,False
2022-04-23 14:00:00,0,False
2022-04-23 15:00:00,0,False
2022-04-23 16:00:00,0,False
2022-04-23 17:00:00,0,False
2022-04-23 18:00:00,0,False
2022-04-23 19:00:00,0,False
2022-04-23 20:00:00,0,False
2022-04-23 21:00:00,0,False
2022-04-23 22:00:00,0,False
2022-04-23 23:00:00,0,False
2022-04-24 00:00:00,0,False
